"textid","textcaption"
"88","гор.АЛМА_АТА. ТУРКЕСТАНО-СИБИРСКАЯ ж.д.<BR>БАШКИРСКАЯ А.С.С.Р.<BR>АРМЯНСКАЯ ССР"
"89","ЧЕЛЯБИНСКАЯ ОБЛАСТЬ<BR>ЧЕЛЯБИНСК - ЮЖНО-УРАЛЬСКАЯ ЖЕЛ.ДОРОГА"
"90","СВЕРДЛОВСКАЯ ОБЛАСТЬ<BR>НОВОСИБИРСКАЯ ОБЛАСТЬ"
"91","СВЕРДЛОВСКАЯ ОБЛАСТЬ<BR>гор.СВЕРДЛОВСК - ЖЕЛ.ДОР.им.КАГАНОВИЧА"
"92","МОСКВА-ЦЕНТР<BR>МОСКОВСКАЯ ОБЛАСТЬ<BR>МОСКВА - ЖЕЛ.ДОР.им. ДЗЕРЖИНСКОГО"
"93","МОСКВА-ЦЕНТР<BR>г.КАЛУГА. МОСК.КИЕВСКАЯ жел.дор."
"94","КРАСНОЯРСКИЙ КРАЙ<BR>НОВОСИБИРСК. ТОМСКАЯ жел.дор.<BR>УЗБЕКСКАЯ ССР"
"95","УКРАИНСКАЯ С.С.Р.<BR>КРЫМСКАЯ АССР"
"96","г.ХАРЬКОВ. ЮЖНАЯ ЖЕЛ.ДОР."
"97","ОРЕНБУРГСКАЯ ОБЛАСТЬ<BR>ОРЕНБУРГ. ОРЕНБУРГСКАЯ жел.дор."
"98","КАЗАХСКАЯ ССР<BR>АЛМА-АТА ТУРКЕСТАНО-СИБИРСКОЙ жел. дор."
"99","ЧЕЛЯБИНСК - ЮЖНО-УРАЛЬСКОЙ ж.д."
"100","г.СВЕРДЛОВСК. Жел.дор.им.КАГАНОВИЧА"
"101","СМОЛЕНСКАЯ ОБЛАСТЬ<BR>РЖЕВ. КАЛИНИНСКАЯ ж.д.<BR>СВЕРДЛОВСКАЯ ОБЛАСТЬ<BR>СТАЛИНГРАДСКАЯ ОБЛАСТЬ"
"102","КУЙБЫШЕВСКАЯ ОБЛАСТЬ"
"103","ТАМБОВСКАЯ ОБЛАСТЬ"
"104","МОСКВА-ЦЕНТР<BR>МОСКОВСКАЯ ОБЛАСТЬ<BR>МОСКВА. Жел.дор.им.ДЗЕРЖИНСКОГО"
"105","МОСКВА-ЦЕНТР<BR>Гор. МОСКВА ж.д. им. ДЗЕРЖИНСКОГО"
"106","МОСКВА-ЦЕНТР<BR>МОСКОВСКАЯ ОБЛАСТЬ<BR>г.МОСКВА. Жел.дор.им.ДЗЕРЖИНСКОГО<BR>г.МОСКВА. ЛЕНИНСКАЯ жел.дор."
"107","ЛЕНИНГРАДСКАЯ ОБЛАСТЬ<BR>САРАТОВСКАЯ ОБЛАСТЬ<BR>ТУЛЬСКАЯ ОБЛАСТЬ<BR>АРМЯНСКАЯ С.С.Р.<BR>ОРЕНБУРГСКАЯ ОБЛ."
"108","ГОР.ТАШКЕНТ - ТАШКЕНТСКАЯ ЖЕЛ.ДОРОГА"
